id,site,trtype,slope,bulkDensity,litter,Jan08rain,mean_runoff_ratio,med_runoff_ratio,std_runoff_ratio,fines_g,litter_g,total_g,fineTotalRatio,fineRainRatio
AB1-E,AB1,euc,31,1.29,47,319.3,0.1419,0.1643,0.1047,16.2,44.3,60.5,0.27,0.051
AB1-O,AB1,oak,32,0.96,92,319.3,0.1548,0.1637,0.0616,45,57.5,102.4,0.44,0.141
AB2-E,AB2,euc,25,1.06,25,282.8,0.132,0.0839,0.1148,18.1,16.9,35,0.52,0.064
AB2-O,AB2,oak,24,1.14,45,310.2,0.1648,0.1404,0.0935,56.8,69.1,125.9,0.45,0.183
KM1-E,KM1,euc,25,1.3,64,319.3,0.0172,0.0033,0.024,11.4,18.8,30.3,0.38,0.036
KM1-O,KM1,oak,30.5,1.2,97,301.1,0.0489,0.0542,0.0246,26.9,21.9,48.9,0.55,0.089
TP1-E,TP1,euc,9,1.06,81,278.3,0.0491,0.049,0.04083,NA,NA,NA,NA,NA
TP1-O,TP1,oak,9,1.05,135,287.4,0.0278,0.0253,0.0112,47,40.4,87.4,0.54,0.164
TP2-E,TP2,euc,10,1.26,82,301.1,0.0478,0.05,0.0147,13.3,14,27.4,0.49,0.044
TP2-O,TP2,oak,12,1.19,111,301.1,0.0045,0,0.01263,25.8,69.6,95.5,0.27,0.086
TP3-E,TP3,euc,18,1.49,73,301.1,0.0284,0.0261,0.0216,17.1,97.8,114.9,0.15,0.057
TP3-O,TP3,oak,25,1.11,109,228.1,0.0212,0.0063,0.0302,66.7,22.3,89,0.25,0.293
TP4-E,TP4,euc,12,0.99,39,328.5,0.0909,0.0986,0.0446,9.2,14.3,23.5,0.39,0.028
TP4-O,TP4,oak,18,1.09,73,301.1,0.0058,0,0.0107,7.5,50.3,57.8,0.13,0.025
